"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Acta1",6.61270294871844e-77,-2.89829941374325,0.549,0.942,1.28716262896804e-72
"Myh2",6.05965976257224e-62,-3.59475971729741,0.175,0.756,1.17951277278469e-57
"Tnnc2",6.55022511107727e-61,-2.7820587496206,0.421,0.86,1.27500131787119e-56
"Tnnt3",4.35885902125408e-60,-2.49253573008931,0.513,0.884,8.48451908487107e-56
"Myh1",5.15382558380993e-57,-2.70304257972442,0.396,0.843,1.0031921498886e-52
"1520401A03Rik",2.69602609226274e-53,-3.96645643299416,0.111,0.663,5.24781478858942e-49
"Ucp1",1.90878435593619e-52,2.0810054432295,0.911,0.573,3.7154487488298e-48
"Mylpf",6.1603905920036e-48,-2.21393360088276,0.521,0.858,1.1991200287335e-43
"Atp2a1",6.47521583518706e-47,-2.34339160753202,0.292,0.77,1.26040076231916e-42
"Myl1",1.29726081997407e-46,-2.40309455733882,0.396,0.794,2.52511818607953e-42
"Tcap",2.2003955761641e-45,-3.09252679345339,0.131,0.625,4.28306998900343e-41
"Myh7",9.46253348573633e-45,-3.02726412618785,0.214,0.683,1.84188214299858e-40
"Des",2.37158678754429e-42,-2.41319959942798,0.343,0.741,4.61629368195497e-38
"Acan",3.05215585694598e-40,-1.35094598196243,0.861,0.983,5.94102137554536e-36
"Mgp",4.08681106440069e-38,-1.06864845555508,0.967,1,7.95497773685594e-34
"Cox6a2",2.65515767981672e-37,-2.75138573053131,0.178,0.605,5.16826442376325e-33
"Col9a1",4.1842492778434e-37,-1.11867315206485,0.986,1,8.14464121932218e-33
"Ckm",1.82775535248387e-35,-1.72787485671762,0.521,0.817,3.55772579360985e-31
"Hspb7",4.07030562440952e-34,-3.28050163377385,0.12,0.517,7.92284989791313e-30
"Col2a1",3.73832452889357e-32,-1.16722008505522,1,1,7.27664869549133e-28
"Ttn",7.53035862506469e-31,-2.88033624199327,0.145,0.517,1.46578430636884e-26
"Chad",4.96534000650333e-30,-1.26303116644836,0.955,0.994,9.66503432265874e-26
"Fabp4",2.19034367990582e-29,0.922111807854587,0.994,0.977,4.26350397293668e-25
"Gpd1",3.78268762989884e-29,1.35172068873906,0.877,0.625,7.3630014715981e-25
"Col9a3",8.83781759644598e-29,-1.28543959414377,0.788,0.951,1.72028119514821e-24
"Cox8b",1.69070628873297e-28,1.18303932900238,0.967,0.901,3.29095979101872e-24
"Fhl1",2.6803656359868e-28,-1.79843006240278,0.384,0.689,5.2173317104483e-24
"Pnpla2",3.76185619804412e-28,1.1656349565419,0.925,0.811,7.32245308949288e-24
"Tpm2",3.77241201797595e-28,-1.58351005073324,0.621,0.802,7.34299999299019e-24
"Acaa2",4.2554335385939e-28,1.17527804831158,0.903,0.738,8.28320138287303e-24
"Ryr1",3.7723772708782e-27,-3.00405437483931,0.058,0.39,7.34293235776441e-23
"Cnmd",8.9493983178569e-27,-1.98104298087663,0.318,0.654,1.74200038257084e-22
"Cryab",2.27338266618425e-26,-1.91011024814532,0.451,0.701,4.42513935972765e-22
"Snorc",4.66774640753698e-26,-1.17604623790154,0.63,0.863,9.08576838227072e-22
"Comp",6.27860696597255e-26,-1.22381218676576,0.989,1,1.22213084592656e-21
"Actn2",1.1065252976825e-25,-3.07075279832013,0.084,0.41,2.153851491939e-21
"Tpm1",4.23267786475224e-25,-0.865496315130159,0.93,0.959,8.23890746374023e-21
"Col9a2",5.58874254153191e-25,-1.44617666149482,0.68,0.875,1.08784873570919e-20
"Csrp3",5.52641345539847e-24,-3.01022462225519,0.072,0.381,1.07571637909331e-19
"Susd5",5.99844134457983e-24,-1.07496858362875,0.638,0.858,1.16759660772246e-19
"Tnni2",1.89079296969218e-23,-2.60225325334848,0.092,0.404,3.68042851550584e-19
"Tnnt1",4.51075879470669e-23,-2.91900460487887,0.092,0.395,8.78019199389657e-19
"Aco2",5.19277046359792e-23,1.21241123613466,0.838,0.622,1.01077277073933e-18
"Hapln1",1.04630684398318e-22,-1.25546454085348,0.577,0.817,2.03663627181325e-18
"Eci1",1.24371165390749e-22,1.03936832745221,0.883,0.709,2.42088473433092e-18
"Apoc1",5.36984485689163e-22,1.26897035887129,0.741,0.398,1.04524030139395e-17
"Etfb",1.14006198571339e-21,0.87209647159083,0.911,0.759,2.21913065519111e-17
"Ckmt2",2.46868186534047e-21,-3.11940301975644,0.039,0.305,4.80528925088523e-17
"Tkt",7.23805616675138e-21,0.486253361705166,0.981,0.985,1.40888763285816e-16
"Casq1",9.70795556696898e-21,-2.27189892430645,0.106,0.401,1.88965355111051e-16
"Acadvl",9.82300159561408e-21,1.0335709772591,0.852,0.622,1.91204726058628e-16
"Thrsp",1.11105512618471e-20,1.14729448081238,0.766,0.451,2.16266880311855e-16
"Cox6a1",1.13248557092162e-20,0.633015872766642,0.955,0.956,2.20438316379894e-16
"Ldb3",2.63834433912681e-20,-2.27611264107176,0.123,0.413,5.13553725611034e-16
"Tnni1",6.96630337836492e-20,-3.43029311129323,0.05,0.305,1.35599095259873e-15
"Mb",4.00887397797157e-19,-2.92948076686298,0.031,0.27,7.80327319812166e-15
"Mybpc1",4.14016019972256e-19,-3.05162093248852,0.053,0.305,8.05882182875996e-15
"Clec3a",4.53775705524334e-19,-1.19138190397173,0.889,0.977,8.83274410803116e-15
"Plin1",4.57751735250573e-19,1.16782901226349,0.724,0.422,8.9101375266524e-15
"Cytl1",6.1606767464913e-19,-1.00703765862655,0.805,0.927,1.19917572870453e-14
"Lpl",6.3799739195196e-19,0.947483913335967,0.847,0.637,1.24186192343449e-14
"Matn3",6.57109587828661e-19,-1.59235804568783,0.387,0.625,1.27906381270849e-14
"Nrap",7.19315702499995e-19,-3.12887339693549,0.042,0.285,1.40014801491624e-14
"Cfd",1.06950942329001e-18,1.11672168968779,0.836,0.622,2.08180009243401e-14
"Lmod2",2.03114839181878e-18,-3.40811137436112,0.033,0.265,3.95363034467526e-14
"Sox9",1.01209808184025e-17,-1.13083521514566,0.568,0.779,1.97004891630204e-13
"Myl2",2.05075325973526e-17,-3.98863592449661,0.019,0.227,3.99179122007469e-13
"Uqcrfs1",2.74309745070711e-17,0.886404484778532,0.827,0.663,5.33943918780139e-13
"Acadl",6.11700619485342e-17,0.722326304421826,0.947,0.863,1.19067525582822e-12
"Acadm",1.16604422015053e-16,0.972408159703978,0.816,0.628,2.26970507452301e-12
"Cidea",1.37416816391342e-16,1.02408568887579,0.788,0.555,2.67481833105746e-12
"Dgat2",1.50241307078801e-16,0.973333827230008,0.774,0.517,2.92444704228886e-12
"Lipe",1.60742959083758e-16,0.962924662585115,0.794,0.564,3.12886169856534e-12
"Ifi27",1.74574654998921e-16,0.852085168624836,0.838,0.613,3.39809565955399e-12
"Adipoq",1.88398675340211e-16,0.761052878061496,0.877,0.703,3.6671802154972e-12
"Cd36",1.91108692830784e-16,0.723616478993065,0.897,0.782,3.7199307059512e-12
"Bglap",2.22649019307437e-16,0.555143453318302,0.997,0.994,4.33386316081927e-12
"Cox7a1",2.45711119576438e-16,1.14162884762399,0.733,0.494,4.78276694255537e-12
"Idh3b",3.54478170476174e-16,0.830398602199038,0.833,0.616,6.89991758831873e-12
"Atp5b",3.97782826856681e-16,0.59211105799702,0.93,0.904,7.7428427247653e-12
"Sdc4",4.44449448474966e-16,-0.619014218180318,0.936,0.962,8.65120851456521e-12
"Depp1",5.16747528239305e-16,1.11754038939028,0.641,0.355,1.00584906371781e-11
"Sparc",5.17874705829699e-16,-0.397913787840318,1,1,1.00804311489751e-11
"Atp5d",1.46887785985333e-15,0.510279169169775,0.981,0.959,2.8591707542045e-11
"Fn1",2.79865687659862e-15,-0.698447723574045,0.969,0.997,5.44758561029922e-11
"Myoz1",3.90021155322429e-15,-2.35149869956659,0.064,0.285,7.59176178835109e-11
"Sdhb",6.91858732391848e-15,0.690387920998814,0.936,0.826,1.34670302260073e-10
"Col6a2",7.03138822477087e-15,-0.885677839614288,0.869,0.98,1.36865971795165e-10
"Bckdha",8.90727580491803e-15,0.931048621723134,0.788,0.535,1.73380123542729e-10
