"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ucp1",7.40690558903149e-28,2.59509289982997,1,0.514,1.2947270969627e-23
"Acta1",1.36002803282711e-25,-3.64681082598584,0.426,0.948,2.37732900138179e-21
"Fabp4",2.30214552010515e-22,1.75714965793894,1,0.983,4.02415036914381e-18
"Tkt",4.76702625933951e-21,1.00139054954466,1,0.988,8.33276190132546e-17
"Myh2",7.91591917766703e-21,-4.39699570918402,0.088,0.798,1.3837026722562e-16
"Gpd1",2.10699809387249e-20,2.01209619181096,1,0.572,3.68303266808912e-16
"Tmsb4x",3.09935989098946e-20,0.778203364358944,1,1,5.41768108944957e-16
"Hsp90b1",7.0601225663075e-20,0.98322587639018,1,0.983,1.23410942459055e-15
"Atp5e",1.18528068204022e-18,0.771436165443266,1,0.994,2.07187063220631e-14
"Cox8b",1.3431976078656e-18,1.49021200415255,1,0.902,2.34790941854908e-14
"Cfd",1.45729460061189e-18,2.01959072835788,0.956,0.503,2.54735096186959e-14
"Tnnt3",2.72614412933675e-18,-2.52677478742085,0.441,0.913,4.76529993808064e-14
"Acaa2",2.93621454985045e-18,1.66471504076317,1,0.688,5.13250303313858e-14
"Myh1",3.29300701258774e-18,-2.66480725527969,0.382,0.896,5.75617625800337e-14
"Tnnc2",3.51587784534494e-18,-2.95112634423374,0.294,0.867,6.14575447366296e-14
"Psap",3.9103512251864e-18,0.789583321396869,1,1,6.83529394162582e-14
"Etfb",4.0509347270496e-18,1.51381525579584,1,0.688,7.08103390288271e-14
"Gnas",1.83927905970706e-17,0.871292865929393,1,1,3.21505979636795e-13
"Thrsp",5.29930446053952e-17,1.8402053976665,0.897,0.364,9.26318419702309e-13
"Atp5d",1.10004831669577e-16,0.996324599583784,1,0.977,1.92288445758421e-12
"Mylpf",1.31627652165624e-16,-2.29861311551937,0.471,0.89,2.3008513598551e-12
"Acadl",1.44434085261423e-16,1.2849863951265,1,0.844,2.52470781036968e-12
"Dgat2",2.1757093231518e-16,1.77076489916865,0.941,0.434,3.80313989686934e-12
"Pnpla2",2.87411275484021e-16,1.65094613456349,1,0.792,5.02394909546069e-12
"Myl1",4.18369419163232e-16,-2.70884002334236,0.265,0.821,7.31309744697329e-12
"Plin1",4.37370235508496e-16,2.13199729181785,0.838,0.329,7.64523171668851e-12
"Eef1a1",7.9916252583407e-16,0.67415441621895,1,0.988,1.39693609515795e-11
"Acadvl",8.13220637255202e-16,1.73108036816945,0.956,0.532,1.42150967392209e-11
"Col1a1",9.25113391611809e-16,0.661391055427044,1,1,1.61709820853744e-11
"Eci1",9.97128624916573e-16,1.50450192413448,0.985,0.642,1.74298083635417e-11
"Aco2",1.09302848645714e-15,1.94425144619003,0.912,0.52,1.91061379432708e-11
"Uqcrc1",1.46316713415924e-15,1.12846744860768,1,0.902,2.55761615051036e-11
"Ywhag",1.48145589082156e-15,1.14728036445951,0.985,0.838,2.58958489715609e-11
"Adipoq",2.27181870506415e-15,1.43643272448347,0.971,0.647,3.97113909645214e-11
"Lipe",4.88441186501585e-15,1.71673885350886,0.926,0.457,8.5379519400477e-11
"Des",6.69604691594923e-15,-2.65712197201671,0.162,0.751,1.17046900090793e-10
"Cd36",8.96400774239066e-15,1.33693346377543,1,0.74,1.56690855336989e-10
"Pck1",5.92948279076627e-14,1.55758516605676,0.882,0.428,1.03647359182594e-09
"Gpx3",6.74150351609825e-14,1.1157419806875,1,0.936,1.17841481461397e-09
"Bckdha",1.154339659605e-13,1.51584722097807,0.912,0.439,2.01778572498954e-09
"Mdh2",1.26151531591719e-13,1.36930436365563,0.941,0.63,2.20512877222325e-09
"1520401A03Rik",1.69353661406969e-13,-3.51956808275015,0.132,0.676,2.96030200139382e-09
"Cox7a1",1.73057742958542e-13,1.70249663954096,0.853,0.422,3.02504934691532e-09
"Myh7",2.48291640450751e-13,-3.2164234635422,0.147,0.676,4.34013787507912e-09
"Sucla2",2.60190869084685e-13,1.84399697682888,0.794,0.393,4.54813639160029e-09
"Atp2a1",4.13742537784999e-13,-2.24701564436415,0.294,0.78,7.23221956048179e-09
"Actb",4.73363144399388e-13,0.683470449519425,1,1,8.2743877641013e-09
"Col1a2",6.09308942226978e-13,0.666443312900734,1,1,1.06507203101276e-08
"Itm2b",6.84160887324928e-13,0.615955526578944,1,1,1.19591323104397e-08
"Cidea",9.14738962524375e-13,1.54533169204294,0.897,0.497,1.59896370649261e-08
"Ifi27",9.5515211144075e-13,1.37088145536019,0.956,0.572,1.66960589079843e-08
"Decr1",1.43721357055696e-12,1.80119701728109,0.75,0.318,2.51224932133357e-08
"Uqcrfs1",1.50157725824399e-12,1.53864653119515,0.912,0.555,2.62475704741049e-08
"Apoc1",1.74161086758206e-12,1.69294022322812,0.824,0.341,3.04433579653344e-08
"Hspa5",1.83273193761067e-12,0.804075838702178,1,0.971,3.20361542694345e-08
"Micos13",2.47413079897771e-12,1.4220193810706,0.912,0.636,4.32478063661304e-08
"Pfn1",2.55363649837952e-12,0.75575363468899,1,1,4.46375659916741e-08
"Cox17",3.13468715305749e-12,1.18670071419314,0.926,0.578,5.47943314354449e-08
"Hadha",3.15917456916142e-12,1.62818553769354,0.838,0.387,5.52223714689417e-08
"Atp1b1",3.17148215618571e-12,1.11241046403222,0.985,0.775,5.54375080901262e-08
"Sdhb",3.27723069989584e-12,1.10356151050149,1,0.815,5.72859926341793e-08
"Reep5",3.28892465054849e-12,0.797651721669519,1,0.965,5.74904028915876e-08
"Acads",3.60117664464412e-12,1.76587854380863,0.824,0.428,6.29485677483793e-08
"Lpl",4.19006484679052e-12,1.45609975793955,0.956,0.566,7.32423335218983e-08
"Ptms",4.20018456540556e-12,0.63070544765482,1,1,7.34192262032893e-08
"Cox6a1",4.23082726493926e-12,0.992165469893374,1,0.965,7.39548605911383e-08
"Acadm",5.65919467001398e-12,1.50499419601774,0.882,0.572,9.89227228318445e-08
"Idh2",6.35358933708114e-12,1.38278929611711,0.926,0.59,1.11060741612178e-07
"Cebpa",9.62559138915735e-12,1.45772376153408,0.868,0.434,1.6825533748247e-07
"Ndufs8",1.40953344335519e-11,1.07529361729341,0.971,0.74,2.46386445898488e-07
"Eif4h",1.75174566484975e-11,0.693512547944656,1,0.988,3.06205142215736e-07
"Tcap",1.76064020010347e-11,-2.88037033822602,0.132,0.613,3.07759906978087e-07
"Hnrnpab",1.96435196941625e-11,0.541609438143448,1,1,3.4336872425396e-07
"Emc10",2.11234753551354e-11,1.25158772640415,0.897,0.532,3.69238349207767e-07
"Fth1",2.16199114314225e-11,0.566157544934797,1,1,3.77916051821266e-07
"Serf2",2.33760300355688e-11,0.714013289634475,1,0.994,4.08613005021742e-07
"Dlat",2.34450175986164e-11,1.54693489876216,0.779,0.399,4.09818907623815e-07
"Bglap",2.44261593146178e-11,0.893247258692194,1,1,4.26969264819519e-07
"Cox8a",2.71787324769448e-11,0.876675440759823,1,0.908,4.75084243696995e-07
"Atp5b",3.36466246964853e-11,0.981392874963333,0.985,0.902,5.88142999694563e-07
"Cat",3.38805273841537e-11,1.2580394959134,0.971,0.659,5.92231618675007e-07
"Ech1",3.46123378931918e-11,1.32019833878612,0.941,0.572,6.05023666372993e-07
