"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Comp",1.16877184934508e-67,1.88360082821572,1,0.972,2.03109171979188e-63,"0","Comp"
"Col2a1",5.1009211695277e-65,1.98256301680805,1,1,8.86438080840524e-61,"0","Col2a1"
"Chad",3.99555452624807e-60,2.00020002051709,1,0.945,6.9434746557139e-56,"0","Chad"
"Clec3a",3.34607862874104e-58,2.22462019844739,1,0.861,5.81481544102617e-54,"0","Clec3a"
"Col9a1",1.38837573993025e-52,1.39475314503233,1,0.974,2.41271936085079e-48,"0","Col9a1"
"Sparc",1.03300632352011e-50,0.704691711987624,1,1,1.79515838901325e-46,"0","Sparc"
"Cilp2",1.53292115956502e-49,1.97429317738775,0.994,0.734,2.66391039109209e-45,"0","Cilp2"
"Col6a2",3.94669612662642e-45,1.43016023639157,1,0.905,6.8585685288514e-41,"0","Col6a2"
"Col6a3",1.52956942230281e-44,1.25161000755663,1,0.972,2.65808574207783e-40,"0","Col6a3"
"Bgn",3.91794802867934e-43,1.22179358596646,1,0.98,6.80861008423895e-39,"0","Bgn"
"Col6a1",4.80691801235079e-40,1.39838640386531,0.994,0.884,8.3534621218632e-36,"0","Col6a1"
"Prelp",5.23522924178153e-40,1.55996893859728,1,0.883,9.09778137636793e-36,"0","Prelp"
"Hist1h1c",6.25625395705072e-38,-0.813789765961079,1,1,1.08721181265627e-33,"0","Hist1h1c"
"Hba-a2",4.13286585173347e-37,-0.84588647862113,1,1,7.18209427714243e-33,"0","Hba-a2"
"Fibin",9.56648110824062e-37,1.75156625332651,0.943,0.65,1.66246308699006e-32,"0","Fibin"
"Hist1h2bj",2.03744623874868e-36,-0.976024720030367,1,0.998,3.54067407369746e-32,"0","Hist1h2bj"
"Col9a3",4.18011906833753e-36,1.42133485470794,0.994,0.835,7.26421091695696e-32,"0","Col9a3"
"Hist2h2bb",5.68437217915957e-36,-0.923246121364595,1,1,9.8783019729435e-32,"0","Hist2h2bb"
"Abi3bp",6.50875676968518e-36,1.92763676539698,0.842,0.417,1.13109175143589e-31,"0","Abi3bp"
"Cytl1",1.47270887443506e-35,1.69990553876227,0.981,0.785,2.55927348199325e-31,"0","Cytl1"
"Hbb-bs",1.52677503690245e-35,-0.858522551991369,1,1,2.65322965912907e-31,"0","Hbb-bs"
"Col9a2",1.57700054337932e-35,1.65516084851887,0.956,0.701,2.74051154428459e-31,"0","Col9a2"
"Fmod",8.1608561481405e-35,1.67468631565828,0.956,0.69,1.41819358142386e-30,"0","Fmod"
"Hist1h1d",2.56741899546303e-34,-0.871197584990263,1,1,4.46166073031565e-30,"0","Hist1h1d"
"Car2",2.69968793328901e-34,-0.993887120632905,1,0.996,4.69151769046964e-30,"0","Car2"
"Col16a1",3.21249584593676e-34,1.39094785386746,0.994,0.901,5.58267528106891e-30,"0","Col16a1"
"Hbb-bt",3.60609524477812e-33,-0.939205384375651,1,0.998,6.26667231637542e-29,"0","Hbb-bt"
