"mouse_gene","human_symbol","avg_log2FC","p_val_adj","significance"
"Mtmr11","MTMR11",-1.15695560908928,1,"Not Significant"
"Sox9","SOX9",-1.13083521514566,1.97004891630204e-13,"Down in Mutant"
"Pax1","PAX1",-1.05386558817331,1,"Not Significant"
"Bckdhb","BCKDHB",0.738221762152052,0.00165667025870893,"Up in Mutant"
"Cdh13","CDH13",-0.523597807558799,1,"Not Significant"
"Epha4","EPHA4",0.494975072333389,1,"Not Significant"
"Tbx1","TBX1",-0.465356446048175,1,"Not Significant"
"Bnc2","BNC2",-0.451979630945454,1,"Not Significant"
"Kif24","KIF24",-0.321578330751239,1,"Not Significant"
"Plxna2","PLXNA2",-0.278403038578827,1,"Not Significant"
"Kcnj2","KCNJ2",-0.27525132768958,1,"Not Significant"
