Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000069917,Hba-a2,Gene Expression,0.6786615337955885,0.0,0.0,108706,249.76528364872374,371
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.6706130028683026,0.0,0.0,161757,372.0629315814819,371
ENSMUSG00000031849,Comp,Gene Expression,0.6233022521709075,0.0,0.0,9850,26.30283706451539,371
ENSMUSG00000031972,Acta1,Gene Expression,0.6161985175585367,0.0,0.0,4908,10.317148016685827,351
ENSMUSG00000036181,Hist1h1c,Gene Expression,0.5889723766565887,0.0,0.0,26719,61.958996241251015,371
ENSMUSG00000061723,Tnnt3,Gene Expression,0.5811808845979743,0.0,0.0,3095,6.573431495177536,331
ENSMUSG00000026043,Col3a1,Gene Expression,0.5783180897448956,0.0,0.0,6289,16.526305378892094,368
ENSMUSG00000022483,Col2a1,Gene Expression,0.5704239487702825,0.0,0.0,203271,555.6867731935718,371
ENSMUSG00000017300,Tnnc2,Gene Expression,0.5687868822318546,0.0,0.0,2587,5.537823626708256,323
ENSMUSG00000056328,Myh1,Gene Expression,0.5661463530385868,0.0,0.0,2428,5.069998521685033,317
ENSMUSG00000056071,S100a9,Gene Expression,0.5627255594133358,0.0,0.0,13049,29.420223366074296,371
ENSMUSG00000039084,Chad,Gene Expression,0.5563315600927227,0.0,0.0,6170,16.65580933892309,369
ENSMUSG00000030672,Mylpf,Gene Expression,0.551517042654113,0.0,0.0,2142,4.811338420273197,322
ENSMUSG00000018593,Sparc,Gene Expression,0.5352714663320259,0.0,0.0,22340,54.62178630011953,371
ENSMUSG00000033196,Myh2,Gene Expression,0.5300619014861628,0.0,0.0,1830,3.8436867058165283,287
ENSMUSG00000027559,Car3,Gene Expression,0.5228442950347616,0.0,0.0,7502,20.070193077268456,363
ENSMUSG00000036256,Igfbp7,Gene Expression,0.5160939962146461,0.0,0.0,3373,8.836002294197458,364
ENSMUSG00000008874,Clec3a,Gene Expression,0.516093732757001,0.0,0.0,4082,11.298131789180335,363
ENSMUSG00000049539,Hist1h1a,Gene Expression,0.5132412937187959,0.0,0.0,11071,25.449085767252097,371
ENSMUSG00000038357,Camp,Gene Expression,0.5121282755318178,0.0,0.0,5444,12.15581865809158,371
ENSMUSG00000053093,Myh7,Gene Expression,0.5048980019294864,0.0,0.0,1160,2.673022427562451,262
ENSMUSG00000041577,Prelp,Gene Expression,0.5044812143589731,0.0,0.0,2176,5.833752934954413,354
ENSMUSG00000044006,Cilp2,Gene Expression,0.5033811828151091,0.0,0.0,1570,4.314905580036855,301
ENSMUSG00000030399,Ckm,Gene Expression,0.49474662212875103,0.0,0.0,1678,3.7405409843466906,308
ENSMUSG00000020241,Col6a2,Gene Expression,0.4947335004766212,0.0,0.0,2374,6.303197490336278,364
ENSMUSG00000026147,Col9a1,Gene Expression,0.4879175801644782,0.0,0.0,7326,20.043571407583457,371
ENSMUSG00000105827,Hist2h2bb,Gene Expression,0.4819799008536496,0.0,0.0,9710,21.892544997919483,371
ENSMUSG00000069310,Hist1h3c,Gene Expression,0.4791714173016526,0.0,0.0,5702,12.893750725042505,371
ENSMUSG00000061816,Myl1,Gene Expression,0.4731919816890748,0.0,0.0,1881,3.9140343139689655,300
ENSMUSG00000052565,Hist1h1d,Gene Expression,0.4694332429118737,0.0,0.0,10278,23.570976006086674,371
ENSMUSG00000075031,Hist1h2bb,Gene Expression,0.4692262759432418,0.0,0.0,9155,20.596055029583713,370
