Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000038193,Hand2,Gene Expression,0.7080672080578859,0.0,0.0,425,0.8031141583154356,74
ENSMUSG00000009394,Syn2,Gene Expression,0.6778298723209772,0.0,0.0,279,0.5031600678073856,55
ENSMUSG00000055368,Slc6a2,Gene Expression,0.67691976172266,0.0,0.0,469,0.9343935769895262,94
ENSMUSG00000028072,Ntrk1,Gene Expression,0.6627078355535816,0.0,0.0,216,0.42210889209956604,55
ENSMUSG00000023484,Prph,Gene Expression,0.6560577546899723,0.0,0.0,916,1.67634800313078,126
ENSMUSG00000029819,Npy,Gene Expression,0.6491951259831842,0.0,0.0,325,0.6178313266061051,63
ENSMUSG00000000214,Th,Gene Expression,0.6228056155020717,0.0,0.0,345,0.6609402676006786,64
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.6183523396980042,0.0,0.0,222857,580.2855603737745,360
ENSMUSG00000039278,Pcsk1n,Gene Expression,0.6156598154821294,0.0,0.0,499,0.8633973889471624,86
ENSMUSG00000026043,Col3a1,Gene Expression,0.6135371041975449,0.0,0.0,7034,16.616241736681893,352
ENSMUSG00000020297,Nsg2,Gene Expression,0.6076907684674386,0.0,0.0,198,0.38242115468900145,54
ENSMUSG00000069917,Hba-a2,Gene Expression,0.6047609754212365,0.0,0.0,160349,413.63450119426193,360
ENSMUSG00000067438,Hmx1,Gene Expression,0.60142633483878,0.0,0.0,123,0.21056271066243046,32
ENSMUSG00000025488,Cox8b,Gene Expression,0.5894074100075845,0.0,0.0,7392,15.278372070985991,348
ENSMUSG00000062380,Tubb3,Gene Expression,0.5836751203751929,0.0,0.0,288,0.5505760773332468,82
ENSMUSG00000027500,Stmn2,Gene Expression,0.5731027493939451,0.0,0.0,706,1.3035502978594127,113
ENSMUSG00000025509,Pnpla2,Gene Expression,0.57009925922309,0.0,0.0,4799,10.060578160243244,333
ENSMUSG00000056071,S100a9,Gene Expression,0.5697352792992055,0.0,0.0,21202,55.021382616090634,360
ENSMUSG00000027581,Stmn3,Gene Expression,0.5675311040085571,0.0,0.0,368,0.6705962575134433,86
ENSMUSG00000021194,Chga,Gene Expression,0.5585706256218467,0.0,0.0,238,0.4264399533767351,50
ENSMUSG00000000889,Dbh,Gene Expression,0.557381480825626,0.0,0.0,201,0.3441012755218541,48
ENSMUSG00000007946,Phox2a,Gene Expression,0.5526235260008302,0.0,0.0,141,0.252511789545988,38
ENSMUSG00000031391,L1cam,Gene Expression,0.5511186377914841,0.0,0.0,167,0.33605321709933517,60
ENSMUSG00000036181,Hist1h1c,Gene Expression,0.5493915037048482,0.0,0.0,35203,92.13206194414643,360
ENSMUSG00000029661,Col1a2,Gene Expression,0.5482213311910714,0.0,0.0,145348,357.0403934836017,360
ENSMUSG00000042750,Bex2,Gene Expression,0.548107743916541,0.0,0.0,212,0.3600122663555465,56
ENSMUSG00000023064,Sncg,Gene Expression,0.5294282538628292,0.0,0.0,650,1.1308707296711853,112
ENSMUSG00000019590,Cyb561,Gene Expression,0.5268728645566284,0.0,0.0,186,0.34882740869922063,57
ENSMUSG00000032303,Chrna3,Gene Expression,0.5252670487222955,0.0,0.0,139,0.25595746741031244,38
ENSMUSG00000029223,Uchl1,Gene Expression,0.5202179610614273,0.0,0.0,1006,1.9155439492005732,185
ENSMUSG00000001506,Col1a1,Gene Expression,0.5195812288288761,0.0,0.0,91409,215.9775963990535,360
ENSMUSG00000105827,Hist2h2bb,Gene Expression,0.5141241160649975,0.0,0.0,13227,34.193915781725956,360
ENSMUSG00000069300,Hist1h2bj,Gene Expression,0.5105770027926608,0.0,0.0,8886,22.982581717984026,360
ENSMUSG00000018451,6330403K07Rik,Gene Expression,0.5094263914724867,0.0,0.0,167,0.3059986877009478,50
ENSMUSG00000020848,Doc2b,Gene Expression,0.5078096815246245,0.0,0.0,78,0.1250607816026063,26
ENSMUSG00000049539,Hist1h1a,Gene Expression,0.5054977141901329,0.0,0.0,14213,37.29417379602106,360
ENSMUSG00000029126,Nsg1,Gene Expression,0.5054309567941125,0.0,0.0,197,0.3925120548662094,76
ENSMUSG00000027562,Car2,Gene Expression,0.5053772032547681,0.0,0.0,8504,22.50386249584326,360
ENSMUSG00000072235,Tuba1a,Gene Expression,0.5034908062921499,0.0,0.0,2620,5.716613056641055,320
ENSMUSG00000024897,Apba1,Gene Expression,0.5021313997770168,0.0,0.0,159,0.31396051955258397,65
ENSMUSG00000027273,Snap25,Gene Expression,0.4992813722237072,0.0,0.0,255,0.5013809056779326,72
ENSMUSG00000031710,Ucp1,Gene Expression,0.4957696429886142,0.0,0.0,4096,8.601790987881449,328
ENSMUSG00000073940,Hbb-bt,Gene Expression,0.49486602637432914,0.0,0.0,9355,24.477225217009675,360
ENSMUSG00000026837,Col5a1,Gene Expression,0.49308161170375453,0.0,0.0,4361,11.17357542639501,354
ENSMUSG00000052852,Reep1,Gene Expression,0.4927163467975924,0.0,0.0,231,0.48424346926679174,85
ENSMUSG00000075031,Hist1h2bb,Gene Expression,0.492482842036703,0.0,0.0,12011,30.91074148033437,360
ENSMUSG00000044349,Snhg11,Gene Expression,0.4892997231371017,0.0,0.0,244,0.46378157323174257,79
ENSMUSG00000018339,Gpx3,Gene Expression,0.484966706584973,0.0,0.0,4458,9.770515754134147,345
ENSMUSG00000023019,Gpd1,Gene Expression,0.48361392042957296,0.0,0.0,3091,6.417909743212962,316
