Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000041607,Mbp,Gene Expression,0.7601625597119714,0.0,0.0,28442,32.09034557234572,950
ENSMUSG00000032517,Mobp,Gene Expression,0.7446023032998436,0.0,0.0,3773,4.439631947620254,466
ENSMUSG00000022483,Col2a1,Gene Expression,0.7348888508148514,0.0,0.0,366630,475.2049267963087,1063
ENSMUSG00000031425,Plp1,Gene Expression,0.7340633977646092,0.0,0.0,5518,6.414902262634568,522
ENSMUSG00000031972,Acta1,Gene Expression,0.7093381759352345,0.0,0.0,54219,34.915263106672334,1020
ENSMUSG00000036181,Hist1h1c,Gene Expression,0.7073403955054401,0.0,0.0,177133,115.7078522946782,1063
ENSMUSG00000069917,Hba-a2,Gene Expression,0.6954264744403731,0.0,0.0,842579,515.8829368660395,1063
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.6887851932280618,0.0,0.0,1266808,762.8421498270736,1063
ENSMUSG00000026043,Col3a1,Gene Expression,0.6864266173552264,0.0,0.0,23325,21.70714653301286,1054
ENSMUSG00000061723,Tnnt3,Gene Expression,0.6862177432366762,0.0,0.0,29260,19.629385564320064,967
ENSMUSG00000033196,Myh2,Gene Expression,0.6745595210328699,0.0,0.0,17864,11.87245982787747,820
ENSMUSG00000017300,Tnnc2,Gene Expression,0.6722947863140425,0.0,0.0,27287,18.00166091102609,966
ENSMUSG00000037625,Cldn11,Gene Expression,0.6707398246066105,0.0,0.0,898,1.0561175681079387,230
ENSMUSG00000049539,Hist1h1a,Gene Expression,0.6697804090775734,0.0,0.0,69692,46.08028619156877,1063
ENSMUSG00000036634,Mag,Gene Expression,0.668524795536878,0.0,0.0,1008,1.177810900740735,278
ENSMUSG00000105827,Hist2h2bb,Gene Expression,0.6617887336529348,0.0,0.0,68112,42.838141825124644,1063
ENSMUSG00000026147,Col9a1,Gene Expression,0.6615615301449231,0.0,0.0,14317,18.05070008754805,1049
ENSMUSG00000053093,Myh7,Gene Expression,0.6574693598867262,0.0,0.0,13318,8.824936936532882,721
ENSMUSG00000030672,Mylpf,Gene Expression,0.6571841614003844,0.0,0.0,20858,14.14584755996775,970
ENSMUSG00000056328,Myh1,Gene Expression,0.6555172001819474,0.0,0.0,24548,16.022286980685877,933
ENSMUSG00000061816,Myl1,Gene Expression,0.6522607061436047,0.0,0.0,18960,12.381826189230603,899
ENSMUSG00000031849,Comp,Gene Expression,0.6485233963312398,0.0,0.0,20206,23.97399656873106,1055
