Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000022483,Col2a1,Gene Expression,0.7225262036358836,0.0,0.0,144947,254.8555352310354,827
ENSMUSG00000036181,Hist1h1c,Gene Expression,0.699976013476545,0.0,0.0,125631,126.7359200245064,827
ENSMUSG00000062515,Fabp4,Gene Expression,0.6936260804280884,0.0,0.0,60241,54.92223352429941,825
ENSMUSG00000049539,Hist1h1a,Gene Expression,0.6922126084423326,0.0,0.0,49480,50.319038813922404,827
ENSMUSG00000056071,S100a9,Gene Expression,0.6836976400125672,0.0,0.0,73155,75.85283743917117,827
ENSMUSG00000025488,Cox8b,Gene Expression,0.6809006464888739,0.0,0.0,35163,31.45098691566567,806
ENSMUSG00000069917,Hba-a2,Gene Expression,0.680652898546291,0.0,0.0,624451,604.7192049121884,827
ENSMUSG00000027562,Car2,Gene Expression,0.6798724146650548,0.0,0.0,31135,31.654912882364936,827
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.6775305773672093,0.0,0.0,872750,838.6655123656462,827
ENSMUSG00000105827,Hist2h2bb,Gene Expression,0.6749335328672648,0.0,0.0,49006,48.776202294579186,827
ENSMUSG00000052565,Hist1h1d,Gene Expression,0.6649226812669203,0.0,0.0,46914,48.57755391745639,826
ENSMUSG00000073940,Hbb-bt,Gene Expression,0.6569562614975474,0.0,0.0,39888,37.854816768504065,826
ENSMUSG00000025509,Pnpla2,Gene Expression,0.6549592374539644,0.0,0.0,22314,20.1753662620948,793
ENSMUSG00000027523,Gnas,Gene Expression,0.6546171086590884,0.0,0.0,43690,39.66985578613111,827
ENSMUSG00000023484,Prph,Gene Expression,0.648762671731147,0.0,0.0,3057,1.8548677401565565,244
ENSMUSG00000075031,Hist1h2bb,Gene Expression,0.6473038966515542,0.0,0.0,44041,43.40056848655341,827
ENSMUSG00000038357,Camp,Gene Expression,0.6455494781451757,0.0,0.0,28271,29.185917278603558,824
ENSMUSG00000031710,Ucp1,Gene Expression,0.6454155660632676,0.0,0.0,20561,18.259278010835114,773
ENSMUSG00000030122,Ptms,Gene Expression,0.6449628287964895,0.0,0.0,27039,27.236800231264393,826
ENSMUSG00000026043,Col3a1,Gene Expression,0.6383516663389605,0.0,0.0,15467,17.664052252775132,808
ENSMUSG00000056054,S100a8,Gene Expression,0.636800180850342,0.0,0.0,26043,26.923957135297073,823
ENSMUSG00000069300,Hist1h2bj,Gene Expression,0.6357792351225512,0.0,0.0,30839,31.276567160809215,825
ENSMUSG00000023019,Gpd1,Gene Expression,0.6336228471088827,0.0,0.0,14449,13.00302969091937,749
ENSMUSG00000061780,Cfd,Gene Expression,0.632409061712041,0.0,0.0,11052,9.98945060464423,695
ENSMUSG00000029819,Npy,Gene Expression,0.6267551548571734,0.0,0.0,1044,0.634521223411572,127
ENSMUSG00000018339,Gpx3,Gene Expression,0.6261011551987656,0.0,0.0,18958,17.69985153291085,807
ENSMUSG00000051627,Hist1h1e,Gene Expression,0.6195947539886918,0.0,0.0,26382,26.6830847874676,827
ENSMUSG00000038193,Hand2,Gene Expression,0.6189919255304325,0.0,0.0,1220,0.7852527336088266,142
ENSMUSG00000040466,Blvrb,Gene Expression,0.6128629674018747,0.0,0.0,21593,21.326868631531397,825
ENSMUSG00000069310,Hist1h3c,Gene Expression,0.6105461147114316,0.0,0.0,30553,29.296797240790905,825
ENSMUSG00000069267,Hist1h3b,Gene Expression,0.609537724503395,0.0,0.0,34227,33.85525843348186,822
ENSMUSG00000036880,Acaa2,Gene Expression,0.604386037228678,0.0,0.0,15762,14.249455013846719,776
ENSMUSG00000027513,Pck1,Gene Expression,0.5937030728498129,0.0,0.0,7579,6.878615370211133,650
ENSMUSG00000024132,Eci1,Gene Expression,0.5928958727140842,0.0,0.0,11999,10.955792437820051,762
ENSMUSG00000030747,Dgat2,Gene Expression,0.5923813530340799,0.0,0.0,8206,7.331547287120442,685
ENSMUSG00000074218,Cox7a1,Gene Expression,0.5914508978571361,0.0,0.0,7838,6.8786396923475746,648
ENSMUSG00000030546,Plin1,Gene Expression,0.5914288618578842,0.0,0.0,5812,5.300705389179213,614
ENSMUSG00000009394,Syn2,Gene Expression,0.5909254121537653,0.0,0.0,817,0.5164477153515228,117
ENSMUSG00000024526,Cidea,Gene Expression,0.5865883115733683,0.0,0.0,8667,7.821493657410485,685
ENSMUSG00000022477,Aco2,Gene Expression,0.5824658620791512,0.0,0.0,9824,8.899392237441866,728
ENSMUSG00000026147,Col9a1,Gene Expression,0.5823781183667535,0.0,0.0,6374,10.114939148359156,795
ENSMUSG00000035686,Thrsp,Gene Expression,0.5815536256059614,0.0,0.0,6741,6.053564228372997,665
ENSMUSG00000026003,Acadl,Gene Expression,0.5803560120771128,0.0,0.0,15543,14.227490978521109,799
ENSMUSG00000000214,Th,Gene Expression,0.5770090894381094,0.0,0.0,960,0.6155677396610094,124
ENSMUSG00000062908,Acadm,Gene Expression,0.5751522330080125,0.0,0.0,8083,7.34703657822087,725
ENSMUSG00000039278,Pcsk1n,Gene Expression,0.5743988572072515,0.0,0.0,1439,0.9120436613259069,185
ENSMUSG00000027447,Cst3,Gene Expression,0.5738555940598447,0.0,0.0,26064,29.08655877241963,827
ENSMUSG00000067438,Hmx1,Gene Expression,0.5732842545065832,0.0,0.0,372,0.2167370832842643,61
ENSMUSG00000044405,Adig,Gene Expression,0.5731226252290775,0.0,0.0,4728,4.166850841942236,551
ENSMUSG00000028072,Ntrk1,Gene Expression,0.5713701260031252,0.0,0.0,620,0.4052334319666392,99
ENSMUSG00000031849,Comp,Gene Expression,0.5677958737374837,0.0,0.0,8219,12.419764286293892,808
ENSMUSG00000040564,Apoc1,Gene Expression,0.5676437244150616,0.0,0.0,6444,5.774968180959974,647
